@relation cluster
@attribute doc numeric
@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute feat60 numeric
@attribute feat61 numeric
@attribute feat62 numeric
@attribute feat63 numeric
@attribute feat64 numeric
@attribute feat65 numeric
@attribute feat66 numeric
@attribute feat67 numeric
@attribute feat68 numeric
@attribute feat69 numeric
@attribute feat70 numeric
@attribute feat71 numeric
@attribute feat72 numeric
@attribute feat73 numeric
@attribute feat74 numeric
@attribute feat75 numeric
@attribute feat76 numeric
@attribute feat77 numeric
@attribute feat78 numeric
@attribute feat79 numeric
@attribute feat80 numeric
@attribute feat81 numeric
@attribute feat82 numeric
@attribute feat83 numeric
@attribute feat84 numeric
@attribute feat85 numeric
@attribute feat86 numeric
@attribute feat87 numeric
@attribute feat88 numeric
@attribute feat89 numeric
@attribute feat90 numeric
@attribute feat91 numeric
@attribute feat92 numeric
@attribute feat93 numeric
@attribute feat94 numeric
@attribute feat95 numeric
@attribute feat96 numeric
@attribute feat97 numeric
@attribute feat98 numeric
@attribute feat99 numeric
@attribute feat100 numeric
@attribute feat101 numeric
@attribute feat102 numeric
@attribute feat103 numeric
@attribute feat104 numeric
@attribute feat105 numeric
@attribute feat106 numeric
@attribute feat107 numeric
@attribute feat108 numeric
@attribute feat109 numeric
@attribute feat110 numeric
@attribute feat111 numeric
@attribute feat112 numeric
@attribute feat113 numeric
@attribute feat114 numeric
@attribute feat115 numeric
@attribute feat116 numeric
@attribute feat117 numeric
@attribute feat118 numeric
@attribute feat119 numeric
@attribute feat120 numeric
@attribute feat121 numeric
@attribute feat122 numeric
@attribute feat123 numeric
@attribute feat124 numeric
@attribute feat125 numeric
@attribute feat126 numeric
@attribute feat127 numeric
@attribute feat128 numeric
@attribute feat129 numeric
@attribute feat130 numeric
@attribute feat131 numeric
@attribute feat132 numeric
@attribute feat133 numeric
@attribute feat134 numeric
@attribute feat135 numeric
@attribute feat136 numeric
@attribute feat137 numeric
@attribute feat138 numeric
@attribute feat139 numeric
@attribute feat140 numeric
@attribute feat141 numeric
@attribute feat142 numeric
@attribute feat143 numeric
@attribute feat144 numeric
@attribute feat145 numeric
@attribute feat146 numeric
@attribute feat147 numeric
@attribute feat148 numeric
@attribute feat149 numeric
@attribute feat150 numeric
@attribute feat151 numeric
@attribute feat152 numeric
@attribute feat153 numeric
@attribute feat154 numeric
@attribute feat155 numeric
@attribute feat156 numeric
@attribute feat157 numeric
@attribute feat158 numeric
@attribute feat159 numeric
@attribute feat160 numeric
@attribute feat161 numeric
@attribute feat162 numeric
@attribute feat163 numeric
@attribute feat164 numeric
@attribute feat165 numeric
@attribute feat166 numeric
@attribute feat167 numeric
@attribute feat168 numeric
@attribute feat169 numeric
@attribute feat170 numeric
@attribute feat171 numeric
@attribute feat172 numeric
@attribute feat173 numeric
@attribute feat174 numeric
@attribute feat175 numeric
@attribute feat176 numeric
@attribute feat177 numeric
@attribute feat178 numeric
@attribute feat179 numeric
@attribute feat180 numeric
@attribute feat181 numeric
@attribute feat182 numeric
@attribute feat183 numeric
@attribute feat184 numeric
@attribute feat185 numeric
@attribute feat186 numeric
@attribute feat187 numeric
@attribute feat188 numeric
@attribute feat189 numeric
@attribute feat190 numeric
@attribute feat191 numeric
@attribute feat192 numeric
@attribute feat193 numeric
@attribute feat194 numeric
@attribute feat195 numeric
@attribute feat196 numeric
@attribute feat197 numeric
@attribute feat198 numeric
@attribute feat199 numeric
@attribute feat200 numeric
@attribute feat201 numeric
@attribute feat202 numeric
@attribute feat203 numeric
@attribute feat204 numeric
@attribute feat205 numeric
@attribute feat206 numeric
@attribute feat207 numeric
@attribute feat208 numeric
@attribute feat209 numeric
@attribute feat210 numeric
@attribute feat211 numeric
@attribute feat212 numeric
@attribute feat213 numeric
@attribute feat214 numeric
@attribute feat215 numeric
@attribute feat216 numeric
@attribute feat217 numeric
@attribute feat218 numeric
@attribute feat219 numeric
@attribute feat220 numeric
@attribute feat221 numeric
@attribute feat222 numeric
@attribute feat223 numeric
@attribute feat224 numeric
@attribute feat225 numeric
@attribute feat226 numeric
@attribute feat227 numeric
@attribute feat228 numeric
@attribute feat229 numeric
@attribute feat230 numeric
@attribute feat231 numeric
@attribute feat232 numeric
@attribute feat233 numeric
@attribute feat234 numeric
@attribute feat235 numeric
@attribute feat236 numeric
@attribute feat237 numeric
@attribute feat238 numeric
@attribute feat239 numeric
@attribute feat240 numeric
@attribute feat241 numeric
@attribute feat242 numeric
@attribute feat243 numeric
@attribute feat244 numeric
@attribute feat245 numeric
@attribute feat246 numeric
@attribute feat247 numeric
@attribute feat248 numeric
@attribute feat249 numeric
@attribute feat250 numeric
@attribute feat251 numeric
@attribute feat252 numeric
@attribute feat253 numeric
@attribute feat254 numeric
@attribute feat255 numeric
@attribute feat256 numeric
@attribute feat257 numeric
@attribute feat258 numeric
@attribute feat259 numeric
@attribute feat260 numeric
@attribute feat261 numeric
@attribute feat262 numeric
@attribute feat263 numeric
@attribute feat264 numeric
@attribute feat265 numeric
@attribute feat266 numeric
@attribute feat267 numeric
@attribute feat268 numeric
@attribute feat269 numeric
@attribute feat270 numeric
@attribute feat271 numeric
@attribute feat272 numeric
@attribute feat273 numeric
@attribute feat274 numeric
@attribute feat275 numeric
@attribute feat276 numeric
@attribute feat277 numeric
@attribute feat278 numeric
@attribute feat279 numeric
@attribute feat280 numeric
@attribute feat281 numeric
@attribute feat282 numeric
@attribute feat283 numeric
@attribute feat284 numeric
@attribute feat285 numeric
@attribute feat286 numeric
@attribute feat287 numeric
@attribute feat288 numeric
@attribute feat289 numeric
@attribute feat290 numeric
@attribute feat291 numeric
@attribute feat292 numeric
@attribute feat293 numeric
@attribute feat294 numeric
@attribute feat295 numeric
@attribute feat296 numeric
@attribute feat297 numeric
@attribute feat298 numeric
@attribute feat299 numeric
@attribute feat300 numeric
@attribute feat301 numeric
@attribute feat302 numeric
@attribute feat303 numeric
@attribute feat304 numeric
@attribute feat305 numeric
@attribute feat306 numeric
@attribute feat307 numeric
@attribute feat308 numeric
@attribute feat309 numeric
@attribute feat310 numeric
@attribute feat311 numeric
@attribute feat312 numeric
@attribute feat313 numeric
@attribute feat314 numeric
@attribute feat315 numeric
@attribute feat316 numeric
@attribute feat317 numeric
@attribute feat318 numeric
@attribute feat319 numeric
@attribute feat320 numeric
@attribute feat321 numeric
@attribute feat322 numeric
@attribute feat323 numeric
@attribute feat324 numeric
@attribute feat325 numeric
@attribute feat326 numeric
@attribute feat327 numeric
@attribute feat328 numeric
@attribute feat329 numeric
@attribute feat330 numeric
@attribute feat331 numeric
@attribute feat332 numeric
@attribute feat333 numeric
@attribute feat334 numeric
@attribute feat335 numeric
@attribute feat336 numeric
@attribute feat337 numeric
@attribute feat338 numeric
@attribute feat339 numeric
@attribute feat340 numeric
@attribute feat341 numeric
@attribute feat342 numeric
@attribute feat343 numeric
@attribute feat344 numeric
@attribute feat345 numeric
@attribute feat346 numeric
@attribute feat347 numeric
@attribute feat348 numeric
@attribute feat349 numeric
@attribute feat350 numeric
@attribute feat351 numeric
@attribute feat352 numeric
@attribute feat353 numeric
@attribute feat354 numeric
@attribute feat355 numeric
@attribute feat356 numeric
@attribute feat357 numeric
@attribute feat358 numeric
@attribute feat359 numeric
@attribute feat360 numeric
@attribute feat361 numeric
@attribute feat362 numeric
@attribute feat363 numeric
@attribute feat364 numeric
@attribute feat365 numeric
@attribute feat366 numeric
@attribute feat367 numeric
@attribute feat368 numeric
@attribute feat369 numeric
@attribute feat370 numeric
@attribute feat371 numeric
@attribute feat372 numeric
@attribute feat373 numeric
@attribute feat374 numeric
@attribute feat375 numeric
@attribute feat376 numeric
@attribute feat377 numeric
@attribute feat378 numeric
@attribute feat379 numeric
@attribute feat380 numeric
@attribute feat381 numeric
@attribute feat382 numeric
@attribute feat383 numeric
@attribute feat384 numeric
@attribute feat385 numeric
@attribute feat386 numeric
@attribute feat387 numeric
@attribute feat388 numeric
@attribute feat389 numeric
@attribute feat390 numeric
@attribute feat391 numeric
@attribute feat392 numeric
@attribute feat393 numeric
@attribute feat394 numeric
@attribute feat395 numeric
@attribute feat396 numeric
@attribute feat397 numeric
@attribute feat398 numeric
@attribute feat399 numeric
@attribute feat400 numeric
@attribute feat401 numeric
@attribute feat402 numeric
@attribute feat403 numeric
@attribute feat404 numeric
@attribute feat405 numeric
@attribute feat406 numeric
@attribute feat407 numeric
@attribute feat408 numeric
@attribute feat409 numeric
@attribute feat410 numeric
@attribute feat411 numeric
@attribute feat412 numeric
@attribute feat413 numeric
@attribute feat414 numeric
@attribute feat415 numeric
@attribute feat416 numeric
@attribute feat417 numeric
@attribute feat418 numeric
@attribute feat419 numeric
@attribute feat420 numeric
@attribute feat421 numeric
@attribute feat422 numeric
@attribute feat423 numeric
@attribute feat424 numeric
@attribute feat425 numeric
@attribute feat426 numeric
@attribute feat427 numeric
@attribute feat428 numeric
@attribute feat429 numeric
@attribute feat430 numeric
@attribute feat431 numeric
@attribute feat432 numeric
@attribute feat433 numeric
@attribute feat434 numeric
@attribute feat435 numeric
@attribute feat436 numeric
@attribute feat437 numeric
@attribute feat438 numeric
@attribute feat439 numeric
@attribute feat440 numeric
@attribute feat441 numeric
@attribute feat442 numeric
@attribute feat443 numeric
@attribute feat444 numeric
@attribute feat445 numeric
@attribute feat446 numeric
@attribute feat447 numeric
@attribute feat448 numeric
@attribute feat449 numeric
@attribute feat450 numeric
@attribute feat451 numeric
@attribute feat452 numeric
@attribute feat453 numeric
@attribute feat454 numeric
@attribute feat455 numeric
@attribute feat456 numeric
@attribute feat457 numeric
@attribute feat458 numeric
@attribute feat459 numeric
@attribute feat460 numeric
@attribute feat461 numeric
@attribute feat462 numeric
@attribute feat463 numeric
@attribute feat464 numeric
@attribute feat465 numeric
@attribute feat466 numeric
@attribute feat467 numeric
@attribute feat468 numeric
@attribute feat469 numeric
@attribute feat470 numeric
@attribute feat471 numeric
@attribute feat472 numeric
@attribute feat473 numeric
@attribute feat474 numeric
@attribute feat475 numeric
@attribute feat476 numeric
@attribute feat477 numeric
@data
1 , 0.00441 , 0.00351 , 0.04651 , 0.0311 , 0.061 , 0.02471 , 0.01771 , 0.01321 , 0.00551 , 0.02631 , 0.01321 , 0.01641 , 0.00421 , 0.03541 , 0.00621 , 0.00211 , 0.00881 , 0.01321 , 0.01761 , 0.00621 , 0.00441 , 0.01061 , 0.02181 , 0.00551 , 0.01551 , 0.01551 , 0.00621 , 0.03821 , 0.03071 , 0.00441 , 0.01641 , 0.01551 , 0.00441 , 0.00621 , 0.01641 , 0.00441 , 0.00621 , 0.00551 , 0.00211 , 0.00441 , 0.00551 , 0.00551 , 0.00621 , 0.00551 , 0.02471 , 0.00551 , 0.00881 , 0.00441 , 0.00441 , 0.00441 , 0.00621 , 0.00441 , 0.00441 , 0.00351 , 0.00551 , 0.00211 , 0.00211 , 0.00621 , 0.00441 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.0
2 , 0.00442 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.00352 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.00212 , 0.02 , 0.02 , 0.00212 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.00442 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.00352 , 0.00552 , 0.00212 , 0.00212 , 0.02 , 0.00442 , 0.00442 , 0.01052 , 0.00552 , 0.00622 , 0.03822 , 0.03082 , 0.03882 , 0.01232 , 0.02732 , 0.01852 , 0.01232 , 0.00552 , 0.03882 , 0.03882 , 0.01552 , 0.01232 , 0.0312 , 0.02332 , 0.02332 , 0.00882 , 0.00352 , 0.00442 , 0.00422 , 0.01552 , 0.00422 , 0.00442 , 0.00352 , 0.00352 , 0.00622 , 0.0372 , 0.00622 , 0.00442 , 0.01232 , 0.08732 , 0.01552 , 0.00442 , 0.00552 , 0.00422 , 0.00212 , 0.00622 , 0.00622 , 0.00552 , 0.00622 , 0.01322 , 0.00552 , 0.00212 , 0.01552 , 0.00442 , 0.00442 , 0.03882 , 0.00422 , 0.00622 , 0.00212 , 0.00442 , 0.01092 , 0.00352 , 0.01552 , 0.00352 , 0.00352 , 0.00622 , 0.00212 , 0.00212 , 0.00552 , 0.00622 , 0.00212 , 0.00552 , 0.00622 , 0.00442 , 0.00442 , 0.00622 , 0.00552 , 0.00622 , 0.00552 , 0.00712 , 0.00442 , 0.00352 , 0.00622 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.0
